STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,AREA_CEN18_WRK_001,Area,HOURSWORKED_CEN18_WRK_001,Hours worked in employment per week,OCCUPATION_CEN18_WRK_001,Occupation,SEX_CEN18_WRK_001,Sex,YEAR_CEN18_WRK_001,Year,OBS_VALUE,Observation value,OBS_STATUS,Observation status
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,4,Community and Personal Service Workers,2,Female,2018,,16779.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,4,Community and Personal Service Workers,9,Total people - sex,2018,,22071.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,5,Clerical and Administrative Workers,1,Male,2018,,2613.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,5,Clerical and Administrative Workers,2,Female,2018,,13887.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,5,Clerical and Administrative Workers,9,Total people - sex,2018,,16497.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,6,Sales Workers,1,Male,2018,,6819.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,6,Sales Workers,2,Female,2018,,14016.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,6,Sales Workers,9,Total people - sex,2018,,20832.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,7,Machinery Operators and Drivers,1,Male,2018,,3558.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,7,Machinery Operators and Drivers,2,Female,2018,,1224.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,7,Machinery Operators and Drivers,9,Total people - sex,2018,,4782.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,7777,Total people stated,1,Male,2018,,51717.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,7777,Total people stated,2,Female,2018,,85074.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,7777,Total people stated,9,Total people - sex,2018,,136791.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,8,Labourers,1,Male,2018,,14484.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,8,Labourers,2,Female,2018,,14601.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,8,Labourers,9,Total people - sex,2018,,29085.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,9,Residual Categories (Operational Codes only),1,Male,2018,,0.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,9,Residual Categories (Operational Codes only),2,Female,2018,,0.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,9,Residual Categories (Operational Codes only),9,Total people - sex,2018,,0.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,9999999,Total people - occupation,1,Male,2018,,51717.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,9999999,Total people - occupation,2,Female,2018,,85074.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,9999999,Total people - occupation,9,Total people - sex,2018,,136791.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,1,Managers,1,Male,2018,,5811.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,1,Managers,2,Female,2018,,8784.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,1,Managers,9,Total people - sex,2018,,14595.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,2,Professionals,1,Male,2018,,7146.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,2,Professionals,2,Female,2018,,22401.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,2,Professionals,9,Total people - sex,2018,,29547.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,3,Technicians and Trades Workers,1,Male,2018,,5286.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,3,Technicians and Trades Workers,2,Female,2018,,5238.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,3,Technicians and Trades Workers,9,Total people - sex,2018,,10524.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,4,Community and Personal Service Workers,1,Male,2018,,6468.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,4,Community and Personal Service Workers,2,Female,2018,,26451.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,4,Community and Personal Service Workers,9,Total people - sex,2018,,32919.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,5,Clerical and Administrative Workers,1,Male,2018,,2805.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,5,Clerical and Administrative Workers,2,Female,2018,,19461.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,5,Clerical and Administrative Workers,9,Total people - sex,2018,,22266.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,6,Sales Workers,1,Male,2018,,10560.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,6,Sales Workers,2,Female,2018,,22806.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,6,Sales Workers,9,Total people - sex,2018,,33366.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,7,Machinery Operators and Drivers,1,Male,2018,,5043.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,7,Machinery Operators and Drivers,2,Female,2018,,1665.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,7,Machinery Operators and Drivers,9,Total people - sex,2018,,6708.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,7777,Total people stated,1,Male,2018,,56250.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,7777,Total people stated,2,Female,2018,,122793.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,7777,Total people stated,9,Total people - sex,2018,,179040.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,8,Labourers,1,Male,2018,,13131.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,8,Labourers,2,Female,2018,,15990.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,8,Labourers,9,Total people - sex,2018,,29121.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,9,Residual Categories (Operational Codes only),1,Male,2018,,0.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,9,Residual Categories (Operational Codes only),2,Female,2018,,0.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,9,Residual Categories (Operational Codes only),9,Total people - sex,2018,,0.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,9999999,Total people - occupation,1,Male,2018,,56250.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,9999999,Total people - occupation,2,Female,2018,,122793.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,2,10-19 hours worked,9999999,Total people - occupation,9,Total people - sex,2018,,179040.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,1,Managers,1,Male,2018,,8367.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,1,Managers,2,Female,2018,,15660.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,1,Managers,9,Total people - sex,2018,,24024.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,2,Professionals,1,Male,2018,,10368.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,2,Professionals,2,Female,2018,,39567.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,2,Professionals,9,Total people - sex,2018,,49932.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,3,Technicians and Trades Workers,1,Male,2018,,8559.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,3,Technicians and Trades Workers,2,Female,2018,,8862.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,3,Technicians and Trades Workers,9,Total people - sex,2018,,17421.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,4,Community and Personal Service Workers,1,Male,2018,,7020.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,4,Community and Personal Service Workers,2,Female,2018,,33585.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,4,Community and Personal Service Workers,9,Total people - sex,2018,,40608.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,5,Clerical and Administrative Workers,1,Male,2018,,3066.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,3,20-29 hours worked,5,Clerical and Administrative Workers,2,Female,2018,,32712.0,,,
